CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central,1,-2.4,2.4,20,1000,0,1,0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))) , 
0, mujets, central,0,-2.4,2.4,20,1000,0,1,0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))) , 
0, mujets, down,1,-2.4,2.4,20,30,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.063606932759284973 , 
0, mujets, down,1,-2.4,2.4,30,50,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.034989029169082642 , 
0, mujets, down,1,-2.4,2.4,50,70,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.033047597855329514 , 
0, mujets, down,1,-2.4,2.4,70,100,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.034643515944480896 , 
0, mujets, down,1,-2.4,2.4,100,140,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.033017721027135849 , 
0, mujets, down,1,-2.4,2.4,140,200,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.028828304260969162 , 
0, mujets, down,1,-2.4,2.4,200,300,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.045852780342102051 , 
0, mujets, down,1,-2.4,2.4,300,600,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.045958288013935089 , 
0, mujets, down,1,-2.4,2.4,600,1000,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.056262202560901642 , 
0, mujets, down,0,-2.4,2.4,20,30,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.025442773476243019 , 
0, mujets, down,0,-2.4,2.4,30,50,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.013995612040162086 , 
0, mujets, down,0,-2.4,2.4,50,70,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.01321903895586729 , 
0, mujets, down,0,-2.4,2.4,70,100,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.013857406564056873 , 
0, mujets, down,0,-2.4,2.4,100,140,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.013207088224589825 , 
0, mujets, down,0,-2.4,2.4,140,200,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.011531321331858635 , 
0, mujets, down,0,-2.4,2.4,200,300,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.01834111288189888 , 
0, mujets, down,0,-2.4,2.4,300,600,0,1,(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.018383314833045006 , 
